,PSP,ID,smiles_string
4372,,201,[*]CC([*])(C)C(=O)OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
9804,,202,[*]c1ccc(Cc2ccc(N3C(=O)C(C)C(SCCOCCSC4C(=O)N(c5ccc(Cc6ccc(N7C(=O)CC(C)(SCCOCCSC8(C)CC(=O)N([*])C8=O)C7=O)cc6)cc5)C(=O)C4C)C3=O)cc2)cc1
6602,,203,[*]Sc1ccc(Nc2ccc(Nc3ccc([*])cc3)cc2)cc1
1354,,204,[*]CC(O)CN(C)S(=O)(=O)c1cccc(S(=O)(=O)N(C)CC(O)COc2ccc(C3(c4ccc(O[*])cc4)c4ccccc4-c4ccccc43)cc2)c1
13174,,205,[*]CC([*])(C)C(=O)OCC[N+](C)(C)CCCCCCC
4191,,206,[*]CC([*])(C)C(=O)OCCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1
1930,,207,[*]CC(CCl)(CCl)COC(=O)CCCCC(=O)O[*]
6081,,208,[*]Oc1c(F)c(F)c(S(=O)(=O)c2c(F)c(F)c(Oc3ccc(C(c4ccc([*])cc4)(C(F)(F)F)C(F)(F)F)cc3)c(F)c2F)c(F)c1F
10814,,209,[*]CC(=O)C([*])c1cccc(C)c1
11884,,210,[*]Oc7ccc(N1C(=O)CCC12CCC(=O)N2c6ccc(Oc5c(F)c(F)c(COC(c4cccc(C(OCc3c(F)c(F)c([*])c(F)c3F)(C(F)(F)F)C(F)(F)F)c4)(C(F)(F)F)C(F)(F)F)c(F)c5F)cc6)cc7
10548,,211,[*]c1ccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)c(S(=O)(=O)O)c1
6069,,212,[*]Oc1ccc(C(C)(C)c2ccc(Oc3ccc(C(=O)c4ccc([*])c(S(=O)(=O)O)c4)cc3S(=O)(=O)O)cc2)cc1
